2026-07-12 20:08:52,682 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 20:08:52,687 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/nonexistent "HTTP/1.1 404 Not Found"
2026-07-12 20:08:52,691 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 20:14:18,767 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:14:19,732 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:14:19,732 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:25:34,917 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:25:35,898 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:25:35,899 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:26:15,616 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:26:16,591 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:26:16,592 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:26:24,313 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:26:25,342 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:26:25,343 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:26:39,201 | INFO | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-07-12 20:26:39,212 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 20:26:39,217 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/nonexistent "HTTP/1.1 404 Not Found"
2026-07-12 20:26:39,223 | INFO | httpx | HTTP Request: GET http://testserver/api/v1/health "HTTP/1.1 200 OK"
2026-07-12 20:42:06,609 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:42:07,555 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:42:07,555 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:42:16,087 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:42:17,098 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:42:17,098 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:42:29,134 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:42:30,125 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:42:30,125 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:42:39,256 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:42:40,233 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:42:40,233 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:43:04,604 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:43:05,542 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:43:05,543 | INFO | app.core.startup | Entorno activo: development.
2026-07-12 20:43:17,586 | INFO | app.core.shutdown | Finalizando EJTV Control Center Backend.
2026-07-12 20:43:18,487 | INFO | app.core.startup | Iniciando EJTV Control Center versión 0.2.0.
2026-07-12 20:43:18,487 | INFO | app.core.startup | Entorno activo: development.
